name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.max aligndot,O.avg aligndot,O.min aligndot,O.max aligncos,O.avg aligncos,O.min aligncos,O.centering_ratio,OC.max norm,OC.avg norm,OC.min norm,OC.mu norm,OC.ratio norm,OC.max aligndot,OC.avg aligndot,OC.min aligndot,OC.max aligncos,OC.avg aligncos,OC.min aligncos,OC.centering_ratio,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor40z-16M-13p1B-100k-bs64-lr3000-zlosswt-g1e-04-s1,4.026,4.026,56.063,,,-,-,-,-,-,0.000,1213.873,816.549,464.424,784.519,0.961,-0.0023,-18.7235,,-,0.000,1213.873,816.549,464.424,784.519,0.961,915154.938,615471.938,341886.000,0.990,0.960,0.837,0.327,566.839,250.989,137.336,0.007,0.000,299685.094,2.003,-273583.938,0.765,-0.027,-0.913,1.000,-0.0023,-18.7235,,,,,,,55.80,178013.56,0.03%,-18.8750,7.1250,4.7188,4.1562,18.8750,101.5000,12.9,5063.5
wor60a-29M-13p1B-100k-bs64-lr10-baselinewt-g0e+00-s1,3.580,3.580,35.867,,,-,-,-,-,-,0.089,4.998,2.614,1.090,2.195,0.840,-0.0088,-0.3696,,-,0.089,4.998,2.614,1.090,2.195,0.840,9.533,4.818,-4.194,0.973,0.826,-0.636,0.945,5.095,1.505,0.771,0.000,0.000,4.715,-0.000,-9.013,0.858,-0.017,-0.909,1.000,-0.0088,-0.3696,,,,,,,1.79,515.47,0.35%,-0.3711,2.7031,6.0625,0.2578,4.8750,18.2500,332.0,7569.1
wor60a-29M-13p1B-100k-bs64-lr100-baselinewt-g0e+00-s1,3.566,3.566,35.364,,,-,-,-,-,-,0.000,45.624,25.050,9.426,21.653,0.864,-0.0126,-2.4180,,-,0.000,45.624,25.050,9.426,21.653,0.864,929.553,468.870,-315.729,0.974,0.849,-0.661,0.844,41.141,13.799,6.115,0.000,0.000,460.684,-0.000,-784.599,0.841,-0.023,-0.934,1.000,-0.0126,-2.4180,,,,,,,6.47,5093.05,0.13%,-2.4219,3.1250,8.4375,0.4766,7.5625,22.3750,338.0,7562.5
wor60a-29M-13p1B-100k-bs64-lr1000-baselinewt-g0e+00-s1,3.643,3.643,38.224,,,-,-,-,-,-,0.000,354.055,187.379,108.922,143.697,0.767,0.1920,184.7515,,-,0.000,354.055,187.379,108.922,143.697,0.767,41047.586,20648.730,-3961.189,0.909,0.754,-0.168,0.600,252.801,124.707,63.200,0.001,0.000,20398.807,-0.047,-24609.965,0.611,-0.020,-0.740,1.000,0.1920,184.7515,,,,,,,74.21,33830.93,0.22%,185.0000,5.0938,102.0000,2.3906,185.0000,204.0000,52736.0,7547.5
wor60a-29M-13p1B-100k-bs64-lr3-baselinewt-g0e+00-s1,3.638,3.638,38.022,,,-,-,-,-,-,0.345,2.165,1.262,0.503,1.092,0.866,-0.1365,-3.5159,,-,0.345,2.165,1.262,0.503,1.092,0.866,2.138,1.193,-1.180,0.985,0.847,-0.726,1.110,2.485,0.682,0.301,0.000,0.000,0.945,-0.000,-2.373,0.916,-0.005,-0.925,1.000,-0.1365,-3.5159,,,,,,,1.53,257.52,0.59%,-3.5156,2.4062,5.0625,0.1943,5.4062,16.7500,211.0,7553.5
wor60a-29M-13p1B-100k-bs64-lr30-baselinewt-g0e+00-s1,3.564,3.564,35.320,,,-,-,-,-,-,0.000,18.944,7.152,2.716,5.755,0.805,0.0009,0.0567,,-,0.000,18.944,7.152,2.716,5.755,0.805,93.182,33.123,-23.801,0.968,0.789,-0.593,0.645,14.340,4.585,2.172,0.000,0.000,60.060,-0.000,-56.923,0.841,-0.054,-0.901,1.000,0.0009,0.0567,,,,,,,4.32,1378.14,0.31%,0.0547,3.2812,6.0312,0.4043,5.5000,21.7500,382.0,7548.5
wor60a-29M-13p1B-100k-bs64-lr300-baselinewt-g0e+00-s1,3.573,3.573,35.633,,,-,-,-,-,-,0.000,135.169,79.043,29.660,70.794,0.896,0.0078,3.2184,,-,0.000,135.169,79.043,29.660,70.794,0.896,8994.733,5011.835,-326.622,0.981,0.886,-0.127,0.594,84.327,39.004,22.647,0.000,0.000,3982.905,0.007,-5338.451,0.853,-0.025,-0.908,1.000,0.0078,3.2184,,,,,,,20.30,16480.78,0.12%,3.2031,3.3438,13.1875,0.7344,11.1875,27.8750,680.0,7552.0
wor60a-29M-13p1B-100k-bs64-lr3000-baselinewt-g0e+00-s1,3.749,3.749,42.491,,,-,-,-,-,-,0.000,817.502,477.384,283.541,386.017,0.809,0.3477,256.4322,,-,0.000,817.502,477.384,283.541,386.017,0.809,265770.688,149009.938,-9514.408,0.950,0.797,-0.053,0.596,643.397,291.691,127.250,0.003,0.000,116761.461,0.706,-158523.641,0.589,-0.012,-0.734,1.000,0.3477,256.4322,,,,,,,157.63,89872.35,0.18%,256.0000,3.5938,64.5000,1.2266,256.0000,274.0000,80384.0,7569.5
wor60e-29M-13p1B-100k-bs64-lr10-mulosswt-g1e-04-s1,3.580,3.580,35.872,,,-,-,-,-,-,0.122,5.197,2.379,1.116,1.890,0.794,-0.0352,-1.4039,,-,0.122,5.197,2.379,1.116,1.890,0.794,8.620,3.571,-3.067,0.959,0.781,-0.539,0.770,4.636,1.518,0.697,0.000,0.000,5.049,-0.000,-6.638,0.773,-0.031,-0.854,1.000,-0.0352,-1.4039,,,,,,,2.23,447.52,0.50%,-1.4062,2.7031,7.9375,0.2617,6.4688,20.0000,330.0,7583.0
wor60e-29M-13p1B-100k-bs64-lr100-mulosswt-g1e-04-s1,3.572,3.572,35.572,,,-,-,-,-,-,0.000,120.416,20.600,8.719,12.553,0.609,-0.0013,-0.1009,,-,0.000,120.416,20.600,8.719,12.553,0.609,309.642,157.586,-518.327,0.894,0.698,-0.507,1.304,125.271,15.153,6.565,0.000,0.000,152.056,0.000,-675.913,0.564,0.058,-0.827,1.000,-0.0013,-0.1009,,,,,,,9.03,4142.53,0.22%,-0.1025,3.2969,12.2500,1.3594,9.3750,24.1250,502.0,7605.0
